,WorkPlace,EdLevel,YearsCodePro,YearsCode,Employment,WorkPosition,DevType,Age,OrgSize,Salary
163,มหาสารคาม (Maha Sarakham),ปริญญาโท (Master's Degree),18.0,8.0,full-time,Security,"Full-stack developer, Database administrator, Educator, Mobile developer, #IT Support, #IT Security, #Network Engineer",35-44 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),2000000
164,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),5.0,10.0,full-time,Web dev,"Back-end developer, QA or test developer",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",900000
165,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),0.5,4.0,full-time,Web dev,Front-end developer,18-24 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",520000
166,กรุงเทพมหานคร (Bangkok),ปวส. (High Vocational Certificate),3.0,3.0,freelance,Admin,"Database administrator, Student",18-24 ปี,มีคนเดียว ทำทุกตำแหน่ง (Freelancer/Just me),120000
167,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,3.0,full-time,Mobile dev,"Back-end developer, Front-end developer, Full-stack developer, DevOps specialist, Mobile developer",25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),480000
168,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.3,6.0,full-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer, QA or test developer",18-24 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),360000
169,จันทบุรี (Chanthaburi),มัธยมศึกษาตอนปลาย (High School),15.0,3.0,full-time,Mobile dev,"Full-stack developer, Database administrator, QA or test developer, System administrator, Mobile developer, #IT Support",35-44 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),240000
170,เชียงใหม่ (Chiang Mai),ปริญญาตรี (Bachelor's Degree),0.5,4.0,part-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer, Database administrator, Student, #IT Support, #Network Engineer, #UX/UI Developer, #Web Developer",18-24 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),110000
171,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),9.0,9.0,full-time,Executive,"Back-end developer, Front-end developer, Full-stack developer, Desktop or enterprise applications developer, Database administrator, QA or test developer, Designer, Site reliability engineer, Product manager, Senior Executive (C-Suite/VP/etc.), Mobile developer, #IT Support, #Manager, #Human Resource",35-44 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),480000
172,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),12.0,12.0,full-time,Web dev,"Front-end developer, Full-stack developer",35-44 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",1560000
173,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),4.0,4.0,part-time,Web dev,Back-end developer,25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",840000
174,ชลบุรี (Chonburi),ปวส. (High Vocational Certificate),2.0,0.0,full-time,Service,"System administrator, #IT Support, #IT Security, #Network Engineer",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",200000
175,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,1.0,full-time,Desktop dev,Desktop or enterprise applications developer,25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",400000
176,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,3.0,full-time,Data,"Data scientist or machine learning specialist, Data or business analyst, Student",18-24 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),360000
177,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),0.0,4.0,full-time,Web dev,Full-stack developer,18-24 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),300000
178,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,7.0,full-time,Web dev,"Front-end developer, Full-stack developer",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",800000
179,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),6.0,6.0,full-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer, Designer",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",780000
180,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),0.75,2.0,full-time,Web dev,"Data or business analyst, Student, #UX/UI Developer",18-24 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",289250
181,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,7.0,full-time,Web dev,Full-stack developer,18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",480000
182,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),11.0,11.0,full-time,Web dev,"Back-end developer, #Manager",35-44 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",1200000
183,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),4.0,4.0,full-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer",25-34 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",240000
184,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,1.2,full-time,Web dev,"Back-end developer, Full-stack developer, Data or business analyst, DevOps specialist, #Cloud Engineer",25-34 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",734500
185,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),4.0,5.0,full-time,Web dev,Back-end developer,18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",720000
186,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,3.0,full-time,Engineer,"#Robotic Software Engineer, #Consultant",25-34 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",780000
187,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.67,5.0,full-time,Engineer,Site reliability engineer,18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",440505
188,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,4.0,full-time,Mobile dev,Mobile developer,25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),393000
189,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,1.0,full-time,Executive,"Full-stack developer, #CTO, #Manager",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",540000
190,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),6.0,6.0,full-time,Web dev,"Front-end developer, Full-stack developer",25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),1200000
191,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),4.0,10.0,full-time,Web dev,"Back-end developer, Full-stack developer",25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),780000
192,กรุงเทพมหานคร (Bangkok),ปริญญาโท (Master's Degree),5.0,5.0,full-time,Data,Data scientist or machine learning specialist,25-34 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",1800000
193,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,3.0,full-time,Data,"Back-end developer, Front-end developer, Full-stack developer, Embedded applications or devices developer, Desktop or enterprise applications developer, Data scientist or machine learning specialist, #Cloud Engineer, #Robotic Software Engineer, #UX/UI Developer, #Web Developer",25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",372000
194,กรุงเทพมหานคร (Bangkok),ปวส. (High Vocational Certificate),5.0,2.0,full-time,Admin,System administrator,25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),233200
195,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),0.8,5.0,full-time,Web dev,Back-end developer,18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",420000
196,ร้อยเอ็ด (Roi Et),ปวส. (High Vocational Certificate),2.0,0.3,full-time,Service,"Database administrator, #IT Support",18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",120000
197,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.5,6.5,full-time,Web dev,"Full-stack developer, #Web Developer",25-34 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",468000
198,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),5.0,4.0,full-time,Web dev,"Full-stack developer, #Web Developer",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",630000
199,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),0.0,5.0,full-time,Web dev,"Front-end developer, Full-stack developer",18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",360000
200,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),5.0,5.0,part-time,Data,"Data scientist or machine learning specialist, #Consultant",25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),1700000
201,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),10.0,7.0,full-time,Engineer,animation programer,25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",660000
202,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,5.0,full-time,Web dev,Back-end developer,18-24 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),315000
203,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),0.5,4.0,full-time,Web dev,"Front-end developer, QA or test developer, #Web Developer",18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",360000
204,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,2.0,full-time,Bussiness,Data or business analyst,25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",480000
205,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,1.0,full-time,Bussiness,Data or business analyst,18-24 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",240000
206,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),12.0,4.0,full-time,Bussiness,"Data or business analyst, System administrator, #IT Support, #Web Developer",35-44 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),600000
207,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,5.0,full-time,Mobile dev,"Back-end developer, Front-end developer, Full-stack developer, Mobile developer",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",660000
208,กรุงเทพมหานคร (Bangkok),ปริญญาโท (Master's Degree),4.6,9.0,full-time,Mobile dev,"Back-end developer, Mobile developer",25-34 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",800000
209,กรุงเทพมหานคร (Bangkok),ปริญญาโท (Master's Degree),3.0,3.0,freelance,Data,"Data scientist or machine learning specialist, Data engineer, Academic researcher",25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),275000
210,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,2.0,full-time,Engineer,"Data engineer, DevOps specialist, Site reliability engineer",18-24 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",720000
211,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),15.0,0.0,full-time,Manager,"#IT Support, #Manager, #Director, Head of IT",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",1440000
212,กรุงเทพมหานคร (Bangkok),ปริญญาโท (Master's Degree),0.0,0.0,full-time,Data,Data engineer,25-34 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",447120
213,กรุงเทพมหานคร (Bangkok),ปวช. (Vocational Certificate),2.0,4.0,full-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer, #Web Developer",18-24 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),360000
214,ประจวบคีรีขันธ์ (Prachuap Kiri Kan),ปริญญาตรี (Bachelor's Degree),0.5,0.0,full-time,Bussiness,"Marketing or sales professional, #Web Developer",25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),200000
215,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.5,1.5,full-time,Service,QA or test developer,25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",624000
216,กรุงเทพมหานคร (Bangkok),ปริญญาโท (Master's Degree),3.0,3.0,full-time,Data,"Data scientist or machine learning specialist, Data or business analyst, Data engineer, Scientist",25-34 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",620000
217,อุบลราชธานี (Ubon Ratchathani),ปริญญาตรี (Bachelor's Degree),2.0,4.0,full-time,Web dev,Full-stack developer,25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",240000
218,นนทบุรี (Nonthaburi),ปริญญาตรี (Bachelor's Degree),2.0,9.0,full-time,Data,"Back-end developer, Front-end developer, Full-stack developer, Data scientist or machine learning specialist, Data or business analyst, Data engineer, Academic researcher, Educator, Student, #Web Developer, #Consultant",18-24 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),800000
219,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),7.0,7.0,full-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",936000
220,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),5.0,10.0,full-time,Web dev,Back-end developer,25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",800000
221,สงขลา (Songkla),ปริญญาตรี (Bachelor's Degree),14.0,12.0,full-time,Desktop dev,"Back-end developer, Front-end developer, Full-stack developer, Embedded applications or devices developer, Desktop or enterprise applications developer, Database administrator, Data or business analyst, Data engineer, DevOps specialist",35-44 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",1100000
222,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),0.7,2.0,full-time,Data,Data engineer,18-24 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),360000
223,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),7.0,11.0,full-time,Web dev,"Back-end developer, Full-stack developer",25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),480000
224,พระนครศรีอยุธยา (Phra Nahhon Si Ayutthaya),ปริญญาตรี (Bachelor's Degree),3.0,3.0,full-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer, #Web Developer",18-24 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),180000
225,ชลบุรี (Chonburi),ปริญญาตรี (Bachelor's Degree),7.0,7.0,full-time,Network,#Network Engineer,18-24 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),216000
226,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),6.0,4.0,full-time,Manager,"Back-end developer, Front-end developer, Designer, Product manager",25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),650000
227,กรุงเทพมหานคร (Bangkok),ปริญญาโท (Master's Degree),10.0,15.0,full-time,Web dev,Full-stack developer,25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",1000000
228,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,6.0,full-time,Data,Data scientist or machine learning specialist,18-24 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),432000
229,สตูล (Satun),ปริญญาตรี (Bachelor's Degree),0.0,5.0,part-time,Mobile dev,"Database administrator, Designer, Mobile developer, Student, #UX/UI Developer",18-24 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),240000
230,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,10.0,full-time,Web dev,"Back-end developer, Front-end developer",25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),432000
231,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,6.0,full-time,Web dev,DevOps specialist,18-24 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",600000
232,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.5,3.5,full-time,Web dev,"Back-end developer, Full-stack developer",25-34 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",624000
233,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),0.16,3.0,full-time,Web dev,Back-end developer,18-24 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),300000
234,นนทบุรี (Nonthaburi),ปริญญาตรี (Bachelor's Degree),4.0,6.0,full-time,Desktop dev,"Front-end developer, Desktop or enterprise applications developer, QA or test developer, Data or business analyst, System administrator, Product manager, Student, #Web Developer",35-44 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",1000000
235,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),0.0,4.0,full-time,Mobile dev,"Back-end developer, Mobile developer",18-24 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",360000
236,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,3.0,full-time,Mobile dev,Mobile developer,25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),513600
237,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,3.0,full-time,Game dev,Game or graphics developer,25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),450000
238,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,1.0,full-time,Mobile dev,QA or test developer,25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",276000
239,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),5.0,6.0,full-time,Web dev,"Back-end developer, Front-end developer, Database administrator, Data or business analyst, #Web Developer",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",684000
240,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,3.0,full-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer, Database administrator, Designer",18-24 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),160000
241,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,7.0,full-time,Mobile dev,"Back-end developer, Front-end developer, Full-stack developer, Mobile developer, Student",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",960000
242,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),5.0,5.0,full-time,Web dev,Back-end developer,25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",650000
243,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,2.0,full-time,Mobile dev,QA or test developer,18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",360000
244,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,7.0,full-time,Desktop dev,"Back-end developer, Front-end developer, Full-stack developer, Desktop or enterprise applications developer",25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",480000
245,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),10.0,20.0,full-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer",25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",1400000
246,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,6.0,full-time,Data,"Back-end developer, Full-stack developer, Data engineer",25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),500000
247,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),0.0,2.0,full-time,Web dev,Back-end developer,18-24 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),330000
248,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),6.0,10.0,full-time,Data,"Data scientist or machine learning specialist, Data engineer, #Network Engineer",25-34 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",1000000
249,ปราจีนบุรี (Prachin Buri),ปริญญาตรี (Bachelor's Degree),5.0,5.0,full-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer, #IT Support, #Web Developer",25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",240000
250,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),17.0,17.0,full-time,Bussiness,Data or business analyst,35-44 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",118000
251,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),6.0,10.0,full-time,Data,Data scientist or machine learning specialist,25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",1000000
252,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,3.0,full-time,Web dev,Full-stack developer,25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),360000
253,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),4.0,4.0,full-time,Engineer,"Back-end developer, DevOps specialist, #Cloud Engineer",25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),720000
254,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,5.0,full-time,Web dev,Full-stack developer,25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),384000
255,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,1.0,full-time,Mobile dev,"Front-end developer, Mobile developer",18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",750000
256,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),7.0,10.0,full-time,Data,"Back-end developer, Full-stack developer, Data or business analyst, Data engineer",25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",1320000
257,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,2.0,full-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer",18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",474000
258,กรุงเทพมหานคร (Bangkok),ปริญญาโท (Master's Degree),2.0,2.0,full-time,Web dev,"Back-end developer, Full-stack developer",18-24 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",456000
259,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),22.0,22.0,full-time,Game dev,"Full-stack developer, Desktop or enterprise applications developer, Game or graphics developer",25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),1320000
260,กรุงเทพมหานคร (Bangkok),ปริญญาโท (Master's Degree),4.0,5.0,full-time,Data,"Full-stack developer, Data scientist or machine learning specialist, QA or test developer, Data or business analyst, Data engineer",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",1440000
261,นนทบุรี (Nonthaburi),ปริญญาตรี (Bachelor's Degree),10.0,10.0,full-time,Desktop dev,"Full-stack developer, Desktop or enterprise applications developer, Database administrator, System administrator",25-34 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",600000
262,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),9.0,16.0,full-time,Desktop dev,"Back-end developer, Front-end developer, Desktop or enterprise applications developer, Database administrator, Data or business analyst, Data engineer, #Web Developer, #Consultant",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",1380000
263,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),6.0,6.0,full-time,Web dev,Full-stack developer,25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),850000
264,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,2.0,full-time,Data,"Data scientist or machine learning specialist, Data or business analyst, Data engineer",25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",1000000
265,กรุงเทพมหานคร (Bangkok),มัธยมศึกษาตอนปลาย (High School),4.0,4.0,full-time,Web dev,"Back-end developer, Full-stack developer",25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),564000
266,สมุทรปราการ (Samut Prakan),ต่ำกว่ามัธยมศึกษา (Lower than Secondary School),2.0,4.0,freelance,Web dev,"Back-end developer, Front-end developer, Full-stack developer, Embedded applications or devices developer, Desktop or enterprise applications developer, Data scientist or machine learning specialist, Database administrator, QA or test developer, Data or business analyst, Designer, Engineering manager, Data engineer, Scientist, Academic researcher, System administrator, Educator, DevOps specialist, Site reliability engineer, Product manager, Senior Executive (C-Suite/VP/etc.), Mobile developer, Student, Game or graphics developer, Marketing or sales professional, #IT Support, #CEO, #CTO, #Cloud Engineer, #IT Security, #Network Engineer, #Manager, #Robotic Software Engineer, #UX/UI Developer, #Web Developer, #Human Resource, #Director, #Consultant",18-24 ปี,มีคนเดียว ทำทุกตำแหน่ง (Freelancer/Just me),25000000
267,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),6.0,10.0,full-time,Data,"Back-end developer, Data engineer, Machine Learning Engineer",25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",1500000
